absences,n_agama,n_pkn,n_bindo,n_mat,n_bing,n_por,n_bjawa,n_kejuruan,family_size,final_score,gender_L,gender_P,n_sikap_A,n_sikap_B,n_sikap_C,organization_tidak,organization_ya,extracurricular_tidak,extracurricular_ya,origin_jhs_negeri,origin_jhs_swasta,address_kabupaten,address_kota,parent_status_Cerai Mati,parent_status_Kawin,father_edu_D1,father_edu_D2,father_edu_D3,father_edu_Putus SD,father_edu_S1,father_edu_S2,father_edu_SD sederajat,father_edu_SMA sederajat,father_edu_SMP / sederajat,father_edu_SMP sederajat,father_edu_Tidak sekolah,father_work_Buruh,father_work_Karyawan Swasta,father_work_Lainnya,father_work_PNSTNIPolri,father_work_Pedagang Besar,father_work_Pedagang Kecil,father_work_Pensiunan,father_work_Petani,father_work_Sudah Meninggal,father_work_Tidak bekerja,father_work_Wiraswasta,father_work_Wirausaha,father_salary_Cukup Rendah,father_salary_Cukup Tinggi,father_salary_Rendah,father_salary_Sangat Rendah,father_salary_Tidak Berpenghasilan,father_salary_Tinggi,mother_edu_D1,mother_edu_D3,mother_edu_Putus SD,mother_edu_S1,mother_edu_S2,mother_edu_S3,mother_edu_SD sederajat,mother_edu_SMA sederajat,mother_edu_SMP / sederajat,mother_edu_SMP sederajat,mother_edu_Tidak sekolah,mother_work_Buruh,mother_work_Karyawan Swasta,mother_work_Lainnya,mother_work_PNSTNIPolri,mother_work_Pedagang Besar,mother_work_Pedagang Kecil,mother_work_Pensiunan,mother_work_Petani,mother_work_Sudah Meninggal,mother_work_Tidak bekerja,mother_work_Tidak dapat diterapkan,mother_work_Wiraswasta,mother_work_Wirausaha,mother_salary_Cukup Rendah,mother_salary_Cukup Tinggi,mother_salary_Rendah,mother_salary_Sangat Rendah,mother_salary_Tidak Berpenghasilan,mother_salary_Tinggi,scholarship_Tidak,scholarship_Ya,house_status_Menumpang,house_status_Rumah Sendiri,house_status_Sewa
0.5714285714285714,0.20000000000000018,0.6875,0.7777777777777777,0.5,0.9375,0.6111111111111116,0.5,0.8461538461538458,0.1111111111111111,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0.42857142857142855,0.48,0.6875,0.6111111111111107,0.40000000000000036,0.875,0.6111111111111116,0.5,0.9230769230769225,0.22222222222222227,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0.14285714285714285,0.3599999999999999,0.625,0.5555555555555554,0.5,0.8125,0.27777777777777857,0.5,0.7692307692307692,0.1111111111111111,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0.5714285714285714,0.3999999999999999,0.75,0.3888888888888884,0.5,0.75,0.666666666666667,0.4285714285714288,0.615384615384615,0.1111111111111111,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0.5714285714285714,0.08000000000000007,0.5625,0.2777777777777777,0.050000000000000266,0.5,0.22222222222222232,0.5,0.4615384615384617,0.0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
0.2857142857142857,0.28000000000000025,0.5625,0.6111111111111107,0.35000000000000053,0.8125,0.6111111111111116,0.4285714285714288,0.7692307692307692,0.1111111111111111,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
0.7142857142857142,0.3599999999999999,0.625,0.44444444444444464,0.5,0.9375,0.44444444444444464,0.5,0.4615384615384617,0.1111111111111111,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0.14285714285714285,0.48,0.625,0.7777777777777777,0.6500000000000004,0.9375,0.6111111111111116,0.5714285714285712,0.8461538461538458,0.22222222222222227,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0.5714285714285714,0.28000000000000025,0.625,0.7222222222222223,0.35000000000000053,0.8125,0.44444444444444464,0.5714285714285712,0.7692307692307692,0.1111111111111111,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
0.7142857142857142,0.08000000000000007,0.625,0.44444444444444464,0.2999999999999998,0.875,0.3333333333333339,0.4285714285714288,0.4615384615384617,0.3333333333333333,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0.0,0.52,0.875,0.833333333333333,0.4500000000000002,0.9375,0.666666666666667,0.5,0.7692307692307692,0.1111111111111111,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0.5714285714285714,0.28000000000000025,0.625,0.33333333333333304,0.35000000000000053,0.6875,0.3888888888888893,0.4285714285714288,0.6923076923076925,0.1111111111111111,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0.14285714285714285,0.43999999999999995,0.875,0.7222222222222223,0.4500000000000002,0.9375,0.666666666666667,0.5714285714285712,0.7692307692307692,0.1111111111111111,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
0.14285714285714285,0.3599999999999999,0.875,0.833333333333333,0.5,0.9375,0.666666666666667,0.5714285714285712,0.7692307692307692,0.1111111111111111,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0.2857142857142857,0.3200000000000003,0.625,0.44444444444444464,0.15000000000000036,0.5,0.16666666666666696,0.4285714285714288,0.4615384615384617,0.1111111111111111,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
0.7142857142857142,0.3599999999999999,0.625,0.33333333333333304,0.25,0.6875,0.5,0.4285714285714288,0.6923076923076925,0.3333333333333333,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0.7142857142857142,0.3599999999999999,0.625,0.6111111111111107,0.40000000000000036,0.625,0.6111111111111116,0.4285714285714288,0.6923076923076925,0.1111111111111111,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0.14285714285714285,0.2400000000000002,0.5625,0.3888888888888884,0.25,0.5,0.3333333333333339,0.35714285714285676,0.5384615384615383,0.3333333333333333,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0.5714285714285714,0.16000000000000014,0.5625,0.5,0.25,0.6875,0.3333333333333339,0.4285714285714288,0.4615384615384617,0.22222222222222227,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0.14285714285714285,0.20000000000000018,0.8125,0.2777777777777777,0.0,0.5625,0.0,0.2142857142857144,0.38461538461538414,0.1111111111111111,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0.7142857142857142,0.20000000000000018,0.625,0.5555555555555554,0.25,0.9375,0.5,0.35714285714285676,0.5384615384615383,0.0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
0.42857142857142855,0.2400000000000002,0.5625,0.22222222222222232,0.15000000000000036,0.3125,0.1111111111111116,0.5714285714285712,0.615384615384615,0.22222222222222227,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0.14285714285714285,0.8000000000000003,0.6875,0.6111111111111107,0.4500000000000002,0.875,0.6111111111111116,0.5714285714285712,0.7692307692307692,0.22222222222222227,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
0.7142857142857142,0.48,0.75,0.7777777777777777,0.35000000000000053,0.75,0.6111111111111116,0.5,0.7692307692307692,0.3333333333333333,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0.5714285714285714,0.48,0.5625,0.6666666666666661,0.25,0.8125,0.6111111111111116,0.5,0.7692307692307692,0.1111111111111111,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0.2857142857142857,0.3999999999999999,0.625,0.6111111111111107,0.4500000000000002,0.625,0.5,0.5,0.6923076923076925,0.1111111111111111,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
0.2857142857142857,0.3599999999999999,0.625,0.7222222222222223,0.20000000000000018,0.8125,0.5555555555555562,0.4285714285714288,0.6923076923076925,0.1111111111111111,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0.42857142857142855,0.28000000000000025,0.5625,0.3888888888888884,0.25,0.6875,0.22222222222222232,0.35714285714285676,0.5384615384615383,0.22222222222222227,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0.7142857142857142,0.3599999999999999,0.5625,0.6111111111111107,0.40000000000000036,0.9375,0.3888888888888893,0.4285714285714288,0.615384615384615,0.1111111111111111,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0.2857142857142857,0.3599999999999999,0.625,0.6111111111111107,0.40000000000000036,0.6875,0.6111111111111116,0.5,0.6923076923076925,0.1111111111111111,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0.5714285714285714,0.2400000000000002,0.75,0.5555555555555554,0.4500000000000002,0.9375,0.3888888888888893,0.4285714285714288,0.615384615384615,0.22222222222222227,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0.2857142857142857,0.3200000000000003,0.5625,0.7222222222222223,0.2999999999999998,0.75,0.44444444444444464,0.4285714285714288,0.7692307692307692,0.3333333333333333,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
0.0,0.16000000000000014,0.5625,0.33333333333333304,0.050000000000000266,0.75,0.3888888888888893,0.35714285714285676,0.5384615384615383,0.22222222222222227,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0.42857142857142855,0.16000000000000014,0.625,0.33333333333333304,0.15000000000000036,0.5,0.22222222222222232,0.4285714285714288,0.6923076923076925,0.1111111111111111,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
0.5714285714285714,0.3599999999999999,0.75,0.44444444444444464,0.15000000000000036,0.625,0.16666666666666696,0.5,0.5384615384615383,0.44444444444444436,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0.42857142857142855,0.3200000000000003,0.625,0.5555555555555554,0.20000000000000018,0.8125,0.5,0.5,0.6923076923076925,0.1111111111111111,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
0.0,0.20000000000000018,0.625,0.5555555555555554,0.35000000000000053,0.625,0.6111111111111116,0.5,0.615384615384615,0.22222222222222227,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0.14285714285714285,0.8399999999999999,0.5625,0.6666666666666661,0.35000000000000053,0.875,0.6111111111111116,0.5,0.6923076923076925,0.1111111111111111,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
0.42857142857142855,0.28000000000000025,0.5625,0.33333333333333304,0.5,0.75,0.3333333333333339,0.2142857142857144,0.5384615384615383,0.22222222222222227,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
0.0,0.3599999999999999,0.5625,0.6111111111111107,0.15000000000000036,0.4375,0.6111111111111116,0.4285714285714288,0.6923076923076925,0.1111111111111111,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
0.2857142857142857,0.52,0.625,0.6111111111111107,0.35000000000000053,0.875,0.6111111111111116,0.5714285714285712,0.8461538461538458,0.1111111111111111,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
0.14285714285714285,0.56,0.625,0.7777777777777777,0.4500000000000002,0.6875,0.6111111111111116,0.5714285714285712,0.8461538461538458,0.3333333333333333,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0.14285714285714285,0.28000000000000025,0.5625,0.44444444444444464,0.20000000000000018,0.3125,0.5,0.5714285714285712,0.7692307692307692,0.1111111111111111,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0.14285714285714285,0.20000000000000018,0.75,0.6666666666666661,0.40000000000000036,0.9375,0.666666666666667,0.5714285714285712,0.8461538461538458,0.44444444444444436,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0.0,0.7200000000000002,0.6875,0.6666666666666661,0.4500000000000002,0.9375,0.666666666666667,0.5714285714285712,0.6923076923076925,0.1111111111111111,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
0.2857142857142857,0.28000000000000025,0.625,0.7777777777777777,0.40000000000000036,0.6875,0.6111111111111116,0.5714285714285712,0.7692307692307692,0.3333333333333333,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0.0,0.20000000000000018,0.625,0.2777777777777777,0.20000000000000018,0.75,0.44444444444444464,0.5,0.6923076923076925,0.22222222222222227,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0.0,0.28000000000000025,0.5625,0.6666666666666661,0.35000000000000053,0.875,0.6111111111111116,0.5,0.9230769230769225,0.1111111111111111,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0.0,0.2400000000000002,0.6875,0.5,0.25,0.8125,0.6111111111111116,0.5,0.7692307692307692,0.1111111111111111,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0.2857142857142857,0.2400000000000002,0.625,0.6666666666666661,0.35000000000000053,0.75,0.6111111111111116,0.5714285714285712,0.7692307692307692,0.1111111111111111,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0.7142857142857142,0.040000000000000036,0.4375,0.2777777777777777,0.25,0.25,0.22222222222222232,0.35714285714285676,0.615384615384615,0.3333333333333333,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0.14285714285714285,0.52,0.6875,0.7222222222222223,0.40000000000000036,0.875,0.6111111111111116,0.5714285714285712,0.6923076923076925,0.22222222222222227,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0.5714285714285714,0.52,0.625,0.6111111111111107,0.40000000000000036,0.9375,0.6111111111111116,0.5714285714285712,0.7692307692307692,0.0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0.0,0.48,0.6875,0.6666666666666661,0.5,0.9375,0.6111111111111116,0.5714285714285712,0.8461538461538458,0.1111111111111111,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0.7142857142857142,0.3200000000000003,0.6875,0.5,0.5,0.875,0.44444444444444464,0.5,0.8461538461538458,0.3333333333333333,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
